# SIH26006 - SYNTHETIC / DEMONSTRATION DATA - NOT REAL FREIGHT RATES
# Fabricated weekly voyage freight rates (USD/tonne) per lane in routes.csv,
# generated by a seeded random process for the prototype forecasting demo.
# They demonstrate the forecasting architecture, NOT real market accuracy.
# Do NOT use for analysis, model training, benchmarking or procurement.
week_start,route_id,origin_country,load_port,destination_port,cargo_type,freight_rate_usd_per_tonne,data_class
2026-05-04,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.14,SYNTHETIC_DEMO
2026-05-11,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,19.69,SYNTHETIC_DEMO
2026-05-18,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.83,SYNTHETIC_DEMO
2026-05-25,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.81,SYNTHETIC_DEMO
2026-06-01,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.91,SYNTHETIC_DEMO
2026-06-08,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.74,SYNTHETIC_DEMO
2026-06-15,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.67,SYNTHETIC_DEMO
2026-06-22,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.65,SYNTHETIC_DEMO
2026-06-29,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.75,SYNTHETIC_DEMO
2026-07-06,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.86,SYNTHETIC_DEMO
2026-07-13,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.15,SYNTHETIC_DEMO
2026-07-20,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.63,SYNTHETIC_DEMO
2026-07-27,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.08,SYNTHETIC_DEMO
2026-08-03,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.97,SYNTHETIC_DEMO
2026-08-10,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.72,SYNTHETIC_DEMO
2026-08-17,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,20.37,SYNTHETIC_DEMO
2026-08-24,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,19.45,SYNTHETIC_DEMO
2026-04-13,R04,Australia,Hay Point,Dhamra,Coking Coal,22.75,SYNTHETIC_DEMO
2026-04-20,R04,Australia,Hay Point,Dhamra,Coking Coal,23.27,SYNTHETIC_DEMO
2026-04-27,R04,Australia,Hay Point,Dhamra,Coking Coal,22.33,SYNTHETIC_DEMO
2026-05-04,R04,Australia,Hay Point,Dhamra,Coking Coal,22.20,SYNTHETIC_DEMO
2026-05-11,R04,Australia,Hay Point,Dhamra,Coking Coal,21.81,SYNTHETIC_DEMO
2026-05-18,R04,Australia,Hay Point,Dhamra,Coking Coal,21.26,SYNTHETIC_DEMO
2026-05-25,R04,Australia,Hay Point,Dhamra,Coking Coal,21.24,SYNTHETIC_DEMO
2026-06-01,R04,Australia,Hay Point,Dhamra,Coking Coal,21.65,SYNTHETIC_DEMO
2026-06-08,R04,Australia,Hay Point,Dhamra,Coking Coal,22.11,SYNTHETIC_DEMO
2026-06-15,R04,Australia,Hay Point,Dhamra,Coking Coal,21.96,SYNTHETIC_DEMO
2026-06-22,R04,Australia,Hay Point,Dhamra,Coking Coal,22.22,SYNTHETIC_DEMO
2026-06-29,R04,Australia,Hay Point,Dhamra,Coking Coal,23.59,SYNTHETIC_DEMO
2026-07-06,R04,Australia,Hay Point,Dhamra,Coking Coal,23.33,SYNTHETIC_DEMO
2026-07-13,R04,Australia,Hay Point,Dhamra,Coking Coal,23.85,SYNTHETIC_DEMO
2026-07-20,R04,Australia,Hay Point,Dhamra,Coking Coal,24.31,SYNTHETIC_DEMO
2026-07-27,R04,Australia,Hay Point,Dhamra,Coking Coal,23.94,SYNTHETIC_DEMO
2026-08-03,R04,Australia,Hay Point,Dhamra,Coking Coal,24.11,SYNTHETIC_DEMO
2026-08-10,R04,Australia,Hay Point,Dhamra,Coking Coal,23.95,SYNTHETIC_DEMO
2026-08-17,R04,Australia,Hay Point,Dhamra,Coking Coal,22.89,SYNTHETIC_DEMO
2026-08-24,R04,Australia,Hay Point,Dhamra,Coking Coal,22.70,SYNTHETIC_DEMO
2026-04-13,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.74,SYNTHETIC_DEMO
2026-04-20,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.15,SYNTHETIC_DEMO
2026-04-27,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.02,SYNTHETIC_DEMO
2026-05-04,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.48,SYNTHETIC_DEMO
2026-05-11,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.68,SYNTHETIC_DEMO
2026-05-18,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.44,SYNTHETIC_DEMO
2026-05-25,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.40,SYNTHETIC_DEMO
2026-06-01,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,18.74,SYNTHETIC_DEMO
2026-06-08,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.66,SYNTHETIC_DEMO
2026-06-15,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.24,SYNTHETIC_DEMO
2026-06-22,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.04,SYNTHETIC_DEMO
2026-06-29,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.54,SYNTHETIC_DEMO
2026-07-06,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.47,SYNTHETIC_DEMO
2026-07-13,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.58,SYNTHETIC_DEMO
2026-07-20,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.39,SYNTHETIC_DEMO
2026-07-27,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.24,SYNTHETIC_DEMO
2026-08-03,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,20.17,SYNTHETIC_DEMO
2026-08-10,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.82,SYNTHETIC_DEMO
2026-08-17,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.26,SYNTHETIC_DEMO
2026-08-24,R05,Australia,Port Hedland,Visakhapatnam,Iron Ore,19.67,SYNTHETIC_DEMO
2026-04-13,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.32,SYNTHETIC_DEMO
2026-04-20,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.23,SYNTHETIC_DEMO
2026-04-27,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.46,SYNTHETIC_DEMO
2026-05-04,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.73,SYNTHETIC_DEMO
2026-05-11,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.37,SYNTHETIC_DEMO
2026-05-18,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.23,SYNTHETIC_DEMO
2026-05-25,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.58,SYNTHETIC_DEMO
2026-06-01,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.92,SYNTHETIC_DEMO
2026-06-08,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.64,SYNTHETIC_DEMO
2026-06-15,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.52,SYNTHETIC_DEMO
2026-06-22,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.76,SYNTHETIC_DEMO
2026-06-29,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.51,SYNTHETIC_DEMO
2026-07-06,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.59,SYNTHETIC_DEMO
2026-07-13,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.19,SYNTHETIC_DEMO
2026-07-20,R06,Australia,Port Hedland,Gangavaram,Iron Ore,20.23,SYNTHETIC_DEMO
2026-07-27,R06,Australia,Port Hedland,Gangavaram,Iron Ore,19.56,SYNTHETIC_DEMO
2026-08-03,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.20,SYNTHETIC_DEMO
2026-08-10,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.42,SYNTHETIC_DEMO
2026-08-17,R06,Australia,Port Hedland,Gangavaram,Iron Ore,17.95,SYNTHETIC_DEMO
2026-08-24,R06,Australia,Port Hedland,Gangavaram,Iron Ore,18.48,SYNTHETIC_DEMO
2026-04-13,R07,Australia,Port Hedland,Paradip,Iron Ore,19.98,SYNTHETIC_DEMO
2026-04-20,R07,Australia,Port Hedland,Paradip,Iron Ore,18.44,SYNTHETIC_DEMO
2026-04-27,R07,Australia,Port Hedland,Paradip,Iron Ore,19.26,SYNTHETIC_DEMO
2026-05-04,R07,Australia,Port Hedland,Paradip,Iron Ore,19.52,SYNTHETIC_DEMO
2026-05-11,R07,Australia,Port Hedland,Paradip,Iron Ore,19.69,SYNTHETIC_DEMO
2026-05-18,R07,Australia,Port Hedland,Paradip,Iron Ore,19.78,SYNTHETIC_DEMO
2026-05-25,R07,Australia,Port Hedland,Paradip,Iron Ore,19.54,SYNTHETIC_DEMO
2026-06-01,R07,Australia,Port Hedland,Paradip,Iron Ore,20.21,SYNTHETIC_DEMO
2026-06-08,R07,Australia,Port Hedland,Paradip,Iron Ore,21.80,SYNTHETIC_DEMO
2026-06-15,R07,Australia,Port Hedland,Paradip,Iron Ore,21.29,SYNTHETIC_DEMO
2026-06-22,R07,Australia,Port Hedland,Paradip,Iron Ore,22.08,SYNTHETIC_DEMO
2026-06-29,R07,Australia,Port Hedland,Paradip,Iron Ore,22.05,SYNTHETIC_DEMO
2026-07-06,R07,Australia,Port Hedland,Paradip,Iron Ore,21.53,SYNTHETIC_DEMO
2026-07-13,R07,Australia,Port Hedland,Paradip,Iron Ore,20.61,SYNTHETIC_DEMO
2026-07-20,R07,Australia,Port Hedland,Paradip,Iron Ore,20.87,SYNTHETIC_DEMO
2026-07-27,R07,Australia,Port Hedland,Paradip,Iron Ore,20.14,SYNTHETIC_DEMO
2026-08-03,R07,Australia,Port Hedland,Paradip,Iron Ore,20.25,SYNTHETIC_DEMO
2026-08-10,R07,Australia,Port Hedland,Paradip,Iron Ore,20.25,SYNTHETIC_DEMO
2026-08-17,R07,Australia,Port Hedland,Paradip,Iron Ore,20.27,SYNTHETIC_DEMO
2026-08-24,R07,Australia,Port Hedland,Paradip,Iron Ore,20.65,SYNTHETIC_DEMO
2026-04-13,R08,Australia,Port Hedland,Dhamra,Iron Ore,19.91,SYNTHETIC_DEMO
2026-04-20,R08,Australia,Port Hedland,Dhamra,Iron Ore,19.86,SYNTHETIC_DEMO
2026-04-27,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.98,SYNTHETIC_DEMO
2026-05-04,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.43,SYNTHETIC_DEMO
2026-05-11,R08,Australia,Port Hedland,Dhamra,Iron Ore,22.19,SYNTHETIC_DEMO
2026-05-18,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.71,SYNTHETIC_DEMO
2026-05-25,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.21,SYNTHETIC_DEMO
2026-06-01,R08,Australia,Port Hedland,Dhamra,Iron Ore,20.73,SYNTHETIC_DEMO
2026-06-08,R08,Australia,Port Hedland,Dhamra,Iron Ore,20.32,SYNTHETIC_DEMO
2026-06-15,R08,Australia,Port Hedland,Dhamra,Iron Ore,20.11,SYNTHETIC_DEMO
2026-06-22,R08,Australia,Port Hedland,Dhamra,Iron Ore,19.39,SYNTHETIC_DEMO
2026-06-29,R08,Australia,Port Hedland,Dhamra,Iron Ore,19.47,SYNTHETIC_DEMO
2026-07-06,R08,Australia,Port Hedland,Dhamra,Iron Ore,20.50,SYNTHETIC_DEMO
2026-07-13,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.07,SYNTHETIC_DEMO
2026-07-20,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.02,SYNTHETIC_DEMO
2026-07-27,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.91,SYNTHETIC_DEMO
2026-08-03,R08,Australia,Port Hedland,Dhamra,Iron Ore,21.65,SYNTHETIC_DEMO
2026-08-10,R08,Australia,Port Hedland,Dhamra,Iron Ore,22.00,SYNTHETIC_DEMO
2026-08-17,R08,Australia,Port Hedland,Dhamra,Iron Ore,22.27,SYNTHETIC_DEMO
2026-08-24,R08,Australia,Port Hedland,Dhamra,Iron Ore,22.12,SYNTHETIC_DEMO
2026-04-13,R09,Australia,Newcastle,Gopalpur,Limestone,14.95,SYNTHETIC_DEMO
2026-04-20,R09,Australia,Newcastle,Gopalpur,Limestone,14.50,SYNTHETIC_DEMO
2026-04-27,R09,Australia,Newcastle,Gopalpur,Limestone,14.99,SYNTHETIC_DEMO
2026-05-04,R09,Australia,Newcastle,Gopalpur,Limestone,15.14,SYNTHETIC_DEMO
2026-05-11,R09,Australia,Newcastle,Gopalpur,Limestone,15.09,SYNTHETIC_DEMO
2026-05-18,R09,Australia,Newcastle,Gopalpur,Limestone,14.87,SYNTHETIC_DEMO
2026-05-25,R09,Australia,Newcastle,Gopalpur,Limestone,15.26,SYNTHETIC_DEMO
2026-06-01,R09,Australia,Newcastle,Gopalpur,Limestone,15.69,SYNTHETIC_DEMO
2026-06-08,R09,Australia,Newcastle,Gopalpur,Limestone,16.12,SYNTHETIC_DEMO
2026-06-15,R09,Australia,Newcastle,Gopalpur,Limestone,16.62,SYNTHETIC_DEMO
2026-06-22,R09,Australia,Newcastle,Gopalpur,Limestone,15.86,SYNTHETIC_DEMO
2026-06-29,R09,Australia,Newcastle,Gopalpur,Limestone,16.00,SYNTHETIC_DEMO
2026-07-06,R09,Australia,Newcastle,Gopalpur,Limestone,15.72,SYNTHETIC_DEMO
2026-07-13,R09,Australia,Newcastle,Gopalpur,Limestone,15.54,SYNTHETIC_DEMO
2026-07-20,R09,Australia,Newcastle,Gopalpur,Limestone,14.79,SYNTHETIC_DEMO
2026-07-27,R09,Australia,Newcastle,Gopalpur,Limestone,14.56,SYNTHETIC_DEMO
2026-08-03,R09,Australia,Newcastle,Gopalpur,Limestone,14.88,SYNTHETIC_DEMO
2026-08-10,R09,Australia,Newcastle,Gopalpur,Limestone,14.03,SYNTHETIC_DEMO
2026-08-17,R09,Australia,Newcastle,Gopalpur,Limestone,15.04,SYNTHETIC_DEMO
2026-08-24,R09,Australia,Newcastle,Gopalpur,Limestone,15.27,SYNTHETIC_DEMO
2026-04-13,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.75,SYNTHETIC_DEMO
2026-04-20,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.52,SYNTHETIC_DEMO
2026-04-27,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.79,SYNTHETIC_DEMO
2026-05-04,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.51,SYNTHETIC_DEMO
2026-05-11,R10,Australia,Newcastle,Visakhapatnam,Limestone,16.24,SYNTHETIC_DEMO
2026-05-18,R10,Australia,Newcastle,Visakhapatnam,Limestone,16.02,SYNTHETIC_DEMO
2026-05-25,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.75,SYNTHETIC_DEMO
2026-06-01,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.82,SYNTHETIC_DEMO
2026-06-08,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.37,SYNTHETIC_DEMO
2026-06-15,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.57,SYNTHETIC_DEMO
2026-06-22,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.07,SYNTHETIC_DEMO
2026-06-29,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.03,SYNTHETIC_DEMO
2026-07-06,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.72,SYNTHETIC_DEMO
2026-07-13,R10,Australia,Newcastle,Visakhapatnam,Limestone,14.95,SYNTHETIC_DEMO
2026-07-20,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.72,SYNTHETIC_DEMO
2026-07-27,R10,Australia,Newcastle,Visakhapatnam,Limestone,16.18,SYNTHETIC_DEMO
2026-08-03,R10,Australia,Newcastle,Visakhapatnam,Limestone,17.30,SYNTHETIC_DEMO
2026-08-10,R10,Australia,Newcastle,Visakhapatnam,Limestone,16.07,SYNTHETIC_DEMO
2026-08-17,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.66,SYNTHETIC_DEMO
2026-08-24,R10,Australia,Newcastle,Visakhapatnam,Limestone,15.88,SYNTHETIC_DEMO
2026-04-13,R11,United States,Norfolk,Paradip,Coking Coal,35.50,SYNTHETIC_DEMO
2026-04-20,R11,United States,Norfolk,Paradip,Coking Coal,36.28,SYNTHETIC_DEMO
2026-04-27,R11,United States,Norfolk,Paradip,Coking Coal,36.76,SYNTHETIC_DEMO
2026-05-04,R11,United States,Norfolk,Paradip,Coking Coal,38.49,SYNTHETIC_DEMO
2026-05-11,R11,United States,Norfolk,Paradip,Coking Coal,38.44,SYNTHETIC_DEMO
2026-05-18,R11,United States,Norfolk,Paradip,Coking Coal,39.05,SYNTHETIC_DEMO
2026-05-25,R11,United States,Norfolk,Paradip,Coking Coal,41.17,SYNTHETIC_DEMO
2026-06-01,R11,United States,Norfolk,Paradip,Coking Coal,40.86,SYNTHETIC_DEMO
2026-06-08,R11,United States,Norfolk,Paradip,Coking Coal,40.71,SYNTHETIC_DEMO
2026-06-15,R11,United States,Norfolk,Paradip,Coking Coal,40.44,SYNTHETIC_DEMO
2026-06-22,R11,United States,Norfolk,Paradip,Coking Coal,38.81,SYNTHETIC_DEMO
2026-06-29,R11,United States,Norfolk,Paradip,Coking Coal,39.15,SYNTHETIC_DEMO
2026-07-06,R11,United States,Norfolk,Paradip,Coking Coal,38.31,SYNTHETIC_DEMO
2026-07-13,R11,United States,Norfolk,Paradip,Coking Coal,37.06,SYNTHETIC_DEMO
2026-07-20,R11,United States,Norfolk,Paradip,Coking Coal,36.85,SYNTHETIC_DEMO
2026-07-27,R11,United States,Norfolk,Paradip,Coking Coal,37.16,SYNTHETIC_DEMO
2026-08-03,R11,United States,Norfolk,Paradip,Coking Coal,38.87,SYNTHETIC_DEMO
2026-08-10,R11,United States,Norfolk,Paradip,Coking Coal,40.03,SYNTHETIC_DEMO
2026-08-17,R11,United States,Norfolk,Paradip,Coking Coal,41.53,SYNTHETIC_DEMO
2026-08-24,R11,United States,Norfolk,Paradip,Coking Coal,42.86,SYNTHETIC_DEMO
2026-04-13,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.58,SYNTHETIC_DEMO
2026-04-20,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.08,SYNTHETIC_DEMO
2026-04-27,R12,United States,Norfolk,Visakhapatnam,Coking Coal,35.63,SYNTHETIC_DEMO
2026-05-04,R12,United States,Norfolk,Visakhapatnam,Coking Coal,34.92,SYNTHETIC_DEMO
2026-05-11,R12,United States,Norfolk,Visakhapatnam,Coking Coal,35.39,SYNTHETIC_DEMO
2026-05-18,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.51,SYNTHETIC_DEMO
2026-05-25,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.52,SYNTHETIC_DEMO
2026-06-01,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.41,SYNTHETIC_DEMO
2026-06-08,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.69,SYNTHETIC_DEMO
2026-06-15,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.86,SYNTHETIC_DEMO
2026-06-22,R12,United States,Norfolk,Visakhapatnam,Coking Coal,39.41,SYNTHETIC_DEMO
2026-06-29,R12,United States,Norfolk,Visakhapatnam,Coking Coal,40.20,SYNTHETIC_DEMO
2026-07-06,R12,United States,Norfolk,Visakhapatnam,Coking Coal,38.39,SYNTHETIC_DEMO
2026-07-13,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.90,SYNTHETIC_DEMO
2026-07-20,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.24,SYNTHETIC_DEMO
2026-07-27,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.79,SYNTHETIC_DEMO
2026-08-03,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.73,SYNTHETIC_DEMO
2026-08-10,R12,United States,Norfolk,Visakhapatnam,Coking Coal,35.67,SYNTHETIC_DEMO
2026-08-17,R12,United States,Norfolk,Visakhapatnam,Coking Coal,36.18,SYNTHETIC_DEMO
2026-08-24,R12,United States,Norfolk,Visakhapatnam,Coking Coal,37.38,SYNTHETIC_DEMO
2026-04-13,R13,United States,Baltimore,Haldia,Iron Ore,36.68,SYNTHETIC_DEMO
2026-04-20,R13,United States,Baltimore,Haldia,Iron Ore,37.59,SYNTHETIC_DEMO
2026-04-27,R13,United States,Baltimore,Haldia,Iron Ore,38.27,SYNTHETIC_DEMO
2026-05-04,R13,United States,Baltimore,Haldia,Iron Ore,37.32,SYNTHETIC_DEMO
2026-05-11,R13,United States,Baltimore,Haldia,Iron Ore,37.62,SYNTHETIC_DEMO
2026-05-18,R13,United States,Baltimore,Haldia,Iron Ore,36.81,SYNTHETIC_DEMO
2026-05-25,R13,United States,Baltimore,Haldia,Iron Ore,35.70,SYNTHETIC_DEMO
2026-06-01,R13,United States,Baltimore,Haldia,Iron Ore,36.07,SYNTHETIC_DEMO
2026-06-08,R13,United States,Baltimore,Haldia,Iron Ore,35.56,SYNTHETIC_DEMO
2026-06-15,R13,United States,Baltimore,Haldia,Iron Ore,34.77,SYNTHETIC_DEMO
2026-06-22,R13,United States,Baltimore,Haldia,Iron Ore,35.44,SYNTHETIC_DEMO
2026-06-29,R13,United States,Baltimore,Haldia,Iron Ore,35.66,SYNTHETIC_DEMO
2026-07-06,R13,United States,Baltimore,Haldia,Iron Ore,37.44,SYNTHETIC_DEMO
2026-07-13,R13,United States,Baltimore,Haldia,Iron Ore,38.93,SYNTHETIC_DEMO
2026-07-20,R13,United States,Baltimore,Haldia,Iron Ore,37.86,SYNTHETIC_DEMO
2026-07-27,R13,United States,Baltimore,Haldia,Iron Ore,38.80,SYNTHETIC_DEMO
2026-08-03,R13,United States,Baltimore,Haldia,Iron Ore,39.79,SYNTHETIC_DEMO
2026-08-10,R13,United States,Baltimore,Haldia,Iron Ore,39.44,SYNTHETIC_DEMO
2026-08-17,R13,United States,Baltimore,Haldia,Iron Ore,38.92,SYNTHETIC_DEMO
2026-08-24,R13,United States,Baltimore,Haldia,Iron Ore,39.17,SYNTHETIC_DEMO
2026-04-13,R14,United States,Baltimore,Visakhapatnam,Iron Ore,38.27,SYNTHETIC_DEMO
